causa;Grupo;Capitulo
A00;2;1
A01;2;1
A02;2;1
A03;2;1
A04;2;1
A05;2;1
A06;2;1
A07;2;1
A08;2;1
A09;2;1
A15;2;1
A16;2;1
A17;2;1
A18;2;1
A19;2;1
A20;2;1
A21;2;1
A22;2;1
A23;2;1
A24;2;1
A25;2;1
A26;2;1
A27;2;1
A28;2;1
A30;2;1
A31;2;1
A32;2;1
A33;2;1
A34;2;1
A35;2;1
A36;2;1
A37;2;1
A38;2;1
A39;2;1
A40;2;1
A41;2;1
A42;2;1
A43;2;1
A44;2;1
A46;2;1
A48;2;1
A49;2;1
A50;2;1
A51;2;1
A52;2;1
A53;2;1
A54;2;1
A55;2;1
A56;2;1
A57;2;1
A58;2;1
A59;2;1
A60;2;1
A63;2;1
A64;2;1
A65;2;1
A66;2;1
A67;2;1
A68;2;1
A69;2;1
A70;2;1
A71;2;1
A74;2;1
A75;2;1
A77;2;1
A78;2;1
A79;2;1
A80;2;1
A81;2;1
A82;2;1
A83;2;1
A84;2;1
A85;2;1
A86;2;1
A87;2;1
A88;2;1
A89;2;1
A90;2;1
A91;2;1
A92;2;1
A93;2;1
A94;2;1
A95;2;1
A96;2;1
A98;2;1
A99;2;1
B00;2;1
B01;2;1
B02;2;1
B03;2;1
B04;2;1
B05;2;1
B06;2;1
B07;2;1
B08;2;1
B09;2;1
B15;2;1
B16;2;1
B17;2;1
B18;2;1
B19;2;1
B20;2;1
B21;2;1
B22;2;1
B23;2;1
B24;2;1
B25;2;1
B26;2;1
B27;2;1
B30;2;1
B33;2;1
B34;2;1
B35;2;1
B36;2;1
B37;2;1
B38;2;1
B39;2;1
B40;2;1
B41;2;1
B42;2;1
B43;2;1
B44;2;1
B45;2;1
B46;2;1
B47;2;1
B48;2;1
B49;2;1
B50;2;1
B51;2;1
B52;2;1
B53;2;1
B54;2;1
B55;2;1
B56;2;1
B57;2;1
B58;2;1
B59;2;1
B60;2;1
B64;2;1
B65;2;1
B66;2;1
B67;2;1
B68;2;1
B69;2;1
B70;2;1
B71;2;1
B72;2;1
B73;2;1
B74;2;1
B75;2;1
B76;2;1
B77;2;1
B78;2;1
B79;2;1
B80;2;1
B81;2;1
B82;2;1
B83;2;1
B85;2;1
B86;2;1
B87;2;1
B88;2;1
B89;2;1
B90;2;1
B91;2;1
B92;2;1
B94;2;1
B95;2;1
B96;2;1
B97;2;1
B99;2;1
C00;1;2
C01;1;2
C02;1;2
C03;1;2
C04;1;2
C05;1;2
C06;1;2
C07;1;2
C08;1;2
C09;1;2
C10;1;2
C11;1;2
C12;1;2
C13;1;2
C14;1;2
C15;1;2
C16;1;2
C17;1;2
C18;1;2
C19;1;2
C20;1;2
C21;1;2
C22;1;2
C23;1;2
C24;1;2
C25;1;2
C26;1;2
C30;1;2
C31;1;2
C32;1;2
C33;1;2
C34;1;2
C37;1;2
C38;1;2
C39;1;2
C40;1;2
C41;1;2
C43;1;2
C44;1;2
C45;1;2
C46;1;2
C47;1;2
C48;1;2
C49;1;2
C50;1;2
C51;1;2
C52;1;2
C53;1;2
C54;1;2
C55;1;2
C56;1;2
C57;1;2
C58;1;2
C60;1;2
C61;1;2
C62;1;2
C63;1;2
C64;1;2
C65;1;2
C66;1;2
C67;1;2
C68;1;2
C69;1;2
C70;1;2
C71;1;2
C72;1;2
C73;1;2
C74;1;2
C75;1;2
C76;1;2
C77;1;2
C78;1;2
C79;1;2
C80;1;2
C81;1;2
C82;1;2
C83;1;2
C84;1;2
C85;1;2
C86;1;2
C88;1;2
C90;1;2
C91;1;2
C92;1;2
C93;1;2
C94;1;2
C95;1;2
C96;1;2
C97;1;2
D00;1;2
D01;1;2
D02;1;2
D03;1;2
D04;1;2
D05;1;2
D06;1;2
D07;1;2
D09;1;2
D10;1;2
D11;1;2
D12;1;2
D13;1;2
D14;1;2
D15;1;2
D16;1;2
D17;1;2
D18;1;2
D19;1;2
D20;1;2
D21;1;2
D22;1;2
D23;1;2
D24;1;2
D25;1;2
D26;1;2
D27;1;2
D28;1;2
D29;1;2
D30;1;2
D31;1;2
D32;1;2
D33;1;2
D34;1;2
D35;1;2
D36;1;2
D37;1;2
D38;1;2
D39;1;2
D40;1;2
D41;1;2
D42;1;2
D43;1;2
D44;1;2
D45;1;2
D46;1;2
D47;1;2
D48;1;2
D50;2;3
D51;2;3
D52;2;3
D53;2;3
D55;1;3
D56;1;3
D57;1;3
D58;1;3
D59;1;3
D60;1;3
D61;1;3
D62;1;3
D63;1;3
D64;1;3
D65;1;3
D66;1;3
D67;1;3
D68;1;3
D69;1;3
D70;1;3
D71;1;3
D72;1;3
D73;1;3
D74;1;3
D75;1;3
D76;1;3
D77;1;3
D80;1;3
D81;1;3
D82;1;3
D83;1;3
D84;1;3
D86;1;3
D89;1;3
E00;2;4
E01;2;4
E02;2;4
E03;1;4
E04;1;4
E05;1;4
E06;1;4
E07;1;4
E10;1;4
E11;1;4
E12;1;4
E13;1;4
E14;1;4
E15;1;4
E16;1;4
E20;1;4
E21;1;4
E22;1;4
E23;1;4
E24;1;4
E25;1;4
E26;1;4
E27;1;4
E28;1;4
E29;1;4
E30;1;4
E31;1;4
E32;1;4
E34;1;4
E35;1;4
E40;2;4
E41;2;4
E42;2;4
E43;2;4
E44;2;4
E45;2;4
E46;2;4
E50;2;4
E51;2;4
E52;2;4
E53;2;4
E54;2;4
E55;2;4
E56;2;4
E58;2;4
E59;2;4
E60;2;4
E61;2;4
E63;2;4
E64;2;4
E65;1;4
E66;1;4
E67;1;4
E68;1;4
E70;1;4
E71;1;4
E72;1;4
E73;1;4
E74;1;4
E75;1;4
E76;1;4
E77;1;4
E78;1;4
E79;1;4
E80;1;4
E83;1;4
E84;1;4
E85;1;4
E86;1;4
E87;1;4
E88;1;4
E89;1;4
E90;1;4
F00;1;5
F01;1;5
F02;1;5
F03;1;5
F04;1;5
F05;1;5
F06;1;5
F07;1;5
F09;1;5
F10;1;5
F11;1;5
F12;1;5
F13;1;5
F14;1;5
F15;1;5
F16;1;5
F17;1;5
F18;1;5
F19;1;5
F20;1;5
F21;1;5
F22;1;5
F23;1;5
F24;1;5
F25;1;5
F28;1;5
F29;1;5
F30;1;5
F31;1;5
F32;1;5
F33;1;5
F34;1;5
F38;1;5
F39;1;5
F40;1;5
F41;1;5
F42;1;5
F43;1;5
F44;1;5
F45;1;5
F48;1;5
F50;1;5
F51;1;5
F52;1;5
F53;1;5
F54;1;5
F55;1;5
F59;1;5
F60;1;5
F61;1;5
F62;1;5
F63;1;5
F64;1;5
F65;1;5
F66;1;5
F68;1;5
F69;1;5
F70;1;5
F71;1;5
F72;1;5
F73;1;5
F78;1;5
F79;1;5
F80;1;5
F81;1;5
F82;1;5
F83;1;5
F84;1;5
F88;1;5
F89;1;5
F90;1;5
F91;1;5
F92;1;5
F93;1;5
F94;1;5
F95;1;5
F98;1;5
F99;1;5
G00;2;6
G01;2;6
G02;2;6
G03;2;6
G04;2;6
G05;2;6
G06;1;6
G07;1;6
G08;1;6
G09;1;6
G10;1;6
G11;1;6
G12;1;6
G13;1;6
G20;1;6
G21;1;6
G22;1;6
G23;1;6
G24;1;6
G25;1;6
G26;1;6
G30;1;6
G31;1;6
G32;1;6
G35;1;6
G36;1;6
G37;1;6
G40;1;6
G41;1;6
G43;1;6
G44;1;6
G45;1;6
G46;1;6
G47;1;6
G50;1;6
G51;1;6
G52;1;6
G53;1;6
G54;1;6
G55;1;6
G56;1;6
G57;1;6
G58;1;6
G59;1;6
G60;1;6
G61;1;6
G62;1;6
G63;1;6
G64;1;6
G70;1;6
G71;1;6
G72;1;6
G73;1;6
G80;1;6
G81;1;6
G82;1;6
G83;1;6
G90;1;6
G91;1;6
G92;1;6
G93;1;6
G94;1;6
G95;1;6
G96;1;6
G97;1;6
G98;1;6
G99;1;6
H00;1;7
H01;1;7
H02;1;7
H03;1;7
H04;1;7
H05;1;7
H06;1;7
H10;1;7
H11;1;7
H13;1;7
H15;1;7
H16;1;7
H17;1;7
H18;1;7
H19;1;7
H20;1;7
H21;1;7
H22;1;7
H25;1;7
H26;1;7
H27;1;7
H28;1;7
H30;1;7
H31;1;7
H32;1;7
H33;1;7
H34;1;7
H35;1;7
H36;1;7
H40;1;7
H42;1;7
H43;1;7
H44;1;7
H45;1;7
H46;1;7
H47;1;7
H48;1;7
H49;1;7
H50;1;7
H51;1;7
H52;1;7
H53;1;7
H54;1;7
H55;1;7
H57;1;7
H58;1;7
H59;1;7
H60;1;8
H61;1;8
H62;2;8
H65;2;8
H66;2;8
H67;2;8
H68;1;8
H69;1;8
H70;1;8
H71;1;8
H72;1;8
H73;1;8
H74;1;8
H75;1;8
H80;1;8
H81;1;8
H82;1;8
H83;1;8
H90;1;8
